Gene name	Synonym	Accession number	Location (kb)	Functional category	Description
Rv2314c		Rv2314c	2587.29	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2315c		Rv2315c	2588.80	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2319c		Rv2319c	2592.73	10	HYPOTHETICAL PROTEIN
Rv2323c		Rv2323c	2596.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2325c		Rv2325c	2597.86	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2327		Rv2327	2599.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2331		Rv2331	2604.30	10	HYPOTHETICAL PROTEIN
Rv2331A		Rv2331A	2604.74	10	HYPOTHETICAL PROTEIN
Rv2336		Rv2336	2610.84	10	HYPOTHETICAL PROTEIN
Rv2337c		Rv2337c	2612.99	10	HYPOTHETICAL PROTEIN
Rv2342		Rv2342	2620.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2360c		Rv2360c	2642.58	10	HYPOTHETICAL PROTEIN
Rv2365c		Rv2365c	2647.09	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2367c		Rv2367c	2648.91	10	FUNCTION UNKNOWN
Rv2369c		Rv2369c	2650.25	10	HYPOTHETICAL PROTEIN
Rv2370c		Rv2370c	2651.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2372c		Rv2372c	2652.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2375		Rv2375	2655.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2387		Rv2387	2680.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2390c		Rv2390c	2684.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2401		Rv2401	2697.73	10	HYPOTHETICAL PROTEIN
Rv2402		Rv2402	2698.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2405		Rv2405	2703.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2406c		Rv2406c	2704.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2407		Rv2407	2704.70	10	CONSERVED HYPOTHETCAL PROTEIN
Rv2409c		Rv2409c	2707.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2410c		Rv2410c	2708.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2411c		Rv2411c	2709.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2413c		Rv2413c	2711.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2414c		Rv2414c	2712.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2415c		Rv2415c	2713.78	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2417c		Rv2417c	2716.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2418c		Rv2418c	2717.14	10	HYPOTHETICAL PROTEIN
Rv2420c		Rv2420c	2718.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2422		Rv2422	2719.08	10	HYPOTHETICAL PROTEIN
Rv2423		Rv2423	2719.60	10	HYPOTHETICAL PROTEIN
Rv2425c		Rv2425c	2723.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2426c		Rv2426c	2724.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2432c		Rv2432c	2728.85	10	HYPOTHETICAL PROTEIN
Rv2433c		Rv2433c	2729.13	10	HYPOTHETICAL PROTEIN
Rv2438A		Rv2438A	2736.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2449c		Rv2449c	2751.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2451		Rv2451	2752.26	10	HYPOTHETICAL PROLINE AND SERINE RICH PROTEIN
Rv2452c		Rv2452c	2752.99	10	HYPOTHETICAL PROTEIN
Rv2466c		Rv2466c	2768.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2468c		Rv2468c	2772.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2469c		Rv2469c	2773.03	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2472		Rv2472	2775.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2474c		Rv2474c	2776.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2475c		Rv2475c	2777.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2478c		Rv2478c	2784.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2481c		Rv2481c	2786.90	10	HYPOTHETICAL PROTEIN
Rv2484c		Rv2484c	2792.49	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv2489c		Rv2489c	2801.15	10	HYPOTHETICAL ALANINE RICH PROTEIN
Rv2491		Rv2491	2806.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2492		Rv2492	2807.28	10	HYPOTHETICAL PROTEIN
Rv2510c		Rv2510c	2827.09	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2513		Rv2513	2830.16	10	HYPOTHETICAL PROTEIN
Rv2514c		Rv2514c	2831.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2515c		Rv2515c	2832.59	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2516c		Rv2516c	2833.51	10	HYPOTHETICAL PROTEIN
Rv2517c		Rv2517c	2833.76	10	HYPOTHETICAL PROTEIN
Rv2522c		Rv2522c	2839.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2525c		Rv2525c	2850.57	10	CONSERVED HYPOTHETICAL PROTEIN. Secreted; predicted to be a substrate of the twin arginine translocation (Tat) export system.
Rv2529		Rv2529	2852.88	10	HYPOTHETICAL PROTEIN
Rv2532c		Rv2532c	2858.25	10	HYPOTHETICAL PROTEIN
Rv2541		Rv2541	2864.43	10	HYPOTHETICAL ALANINE RICH PROTEIN
Rv2542		Rv2542	2865.13	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2551c		Rv2551c	2871.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2554c		Rv2554c	2873.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2556c		Rv2556c	2876.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2557		Rv2557	2877.07	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2558		Rv2558	2877.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2559c		Rv2559c	2879.93	10	CONSERVED HYPOTHETICAL ALANINE LEUCINE VALINE RICH PROTEIN
Rv2561		Rv2561	2881.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2562		Rv2562	2881.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2565		Rv2565	2884.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2566		Rv2566	2886.37	10	LONG CONSERVED HYPOTHETICAL PROTEIN
Rv2567		Rv2567	2889.79	10	CONSERVED HYPOTHETICAL ALANINE AND LEUCINE RICH PROTEIN
Rv2568c		Rv2568c	2893.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2569c		Rv2569c	2894.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2570		Rv2570	2894.51	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2573		Rv2573	2898.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2574		Rv2574	2898.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2577		Rv2577	2900.92	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2578c		Rv2578c	2903.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2598		Rv2598	2926.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2603c		Rv2603c	2931.56	10	HIGHLY CONSERVED HYPOTHETICAL PROTEIN
Rv2614A		Rv2614A	2943.38	10	Conserved hypothetical protein
Rv2616		Rv2616	2945.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2618		Rv2618	2946.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2619c		Rv2619c	2947.45	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2624c		Rv2624c	2951.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2626c		Rv2626c	2952.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2627c		Rv2627c	2954.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2628		Rv2628	2955.06	10	HYPOTHETICAL PROTEIN
Rv2629		Rv2629	2955.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2630		Rv2630	2956.89	10	HYPOTHETICAL PROTEIN
Rv2631		Rv2631	2957.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2632c		Rv2632c	2959.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2633c		Rv2633c	2959.82	10	HYPOTHETICAL PROTEIN
Rv2635		Rv2635	2962.47	10	HYPOTHETICAL PROTEIN
Rv2636		Rv2636	2962.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2638		Rv2638	2964.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2644c		Rv2644c	2968.85	10	HYPOTHETICAL PROTEIN
Rv2660c		Rv2660c	2981.19	10	HYPOTHETICAL PROTEIN
Rv2661c		Rv2661c	2981.58	10	HYPOTHETICAL PROTEIN
Rv2662		Rv2662	2981.48	10	HYPOTHETICAL PROTEIN
Rv2663		Rv2663	2981.85	10	HYPOTHETICAL PROTEIN
Rv2664		Rv2664	2982.10	10	HYPOTHETICAL PROTEIN
Rv2665		Rv2665	2982.70	10	HYPOTHETICAL ARGININE RICH PROTEIN
Rv2669		Rv2669	2985.28	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv2670c		Rv2670c	2986.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2674		Rv2674	2990.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2675c		Rv2675c	2991.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2676c		Rv2676c	2992.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2680		Rv2680	2996.10	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2681		Rv2681	2996.74	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2683		Rv2683	3000.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2689c		Rv2689c	3007.06	10	CONSERVED HYPOTHETICAL ALANINE AND VALINE AND GLYCINE RICH PROTEIN
Rv2694c		Rv2694c	3011.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2695		Rv2695	3011.92	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2696c		Rv2696c	3013.61	10	CONSERVED HYPOTHETICAL ALANINE AND GLYCINE AND VALINE RICH PROTEIN
Rv2699c		Rv2699c	3014.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2704		Rv2704	3019.46	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2705c		Rv2705c	3020.20	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2706c		Rv2706c	3020.46	10	HYPOTHETICAL PROTEIN
Rv2707		Rv2707	3020.57	10	PROBABLE CONSERVED TRANSMEMBRANE ALANINE AND LEUCINE RICH PROTEIN
Rv2708c		Rv2708c	3021.80	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2712c		Rv2712c	3025.33	10	HYPOTHETICAL PROTEIN
Rv2714		Rv2714	3027.06	10	CONSERVED HYPOTHETICAL ALANINE AND LEUCINE RICH PROTEIN
Rv2716		Rv2716	3029.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2717c		Rv2717c	3030.36	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2718c		Rv2718c	3030.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2722		Rv2722	3034.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2728c		Rv2728c	3041.46	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2730		Rv2730	3042.54	10	HYPOTHETICAL PROTEIN
Rv2731		Rv2731	3043.03	10	CONSERVED HYPOTHETICAL ALANINE AND ARGININE RICH PROTEIN
Rv2733c		Rv2733c	3046.52	10	CONSERVED HYPOTHETICAL ALANINE, ARGININE-RICH PROTEIN
Rv2734		Rv2734	3046.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2735c		Rv2735c	3048.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2737A		Rv2737A	3051.62	10	CONSERVED HYPOTHETICAL CYSTEINE RICH PROTEIN (FRAGMENT)
Rv2738c		Rv2738c	3052.01	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2742c		Rv2742c	3056.35	10	CONSERVED HYPOTHETICAL ARGININE RICH PROTEIN
Rv2747		Rv2747	3059.26	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv2749		Rv2749	3062.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2751		Rv2751	3063.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2752c		Rv2752c	3066.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2762c		Rv2762c	3073.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2771c		Rv2771c	3081.03	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2774c		Rv2774c	3082.76	10	HYPOTHETICAL PROTEIN
Rv2775		Rv2775	3082.91	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv2777c		Rv2777c	3085.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2778c		Rv2778c	3086.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2787		Rv2787	3095.11	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2794c		Rv2794c	3103.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2795c		Rv2795c	3104.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2797c		Rv2797c	3107.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2798c		Rv2798c	3107.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2802c		Rv2802c	3111.82	10	HYPOTHETICAL ARGININE AND ALANINE RICH PROTEIN
Rv2803		Rv2803	3111.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2804c		Rv2804c	3113.09	10	HYPOTHETICAL PROTEIN
Rv2805		Rv2805	3112.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2807		Rv2807	3113.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2808		Rv2808	3115.05	10	HYPOTHETICAL PROTEIN
Rv2809		Rv2809	3115.41	10	HYPOTHETICAL PROTEIN
Rv2811		Rv2811	3116.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2813		Rv2813	3118.22	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2816c		Rv2816c	3123.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2817c		Rv2817c	3124.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2819c		Rv2819c	3127.37	10	HYPOTHETICAL PROTEIN
Rv2820c		Rv2820c	3128.27	10	HYPOTHETICAL PROTEIN
Rv2821c		Rv2821c	3128.96	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2822c		Rv2822c	3129.35	10	HYPOTHETICAL PROTEIN
Rv2823c		Rv2823c	3131.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2824c		Rv2824c	3132.71	10	HYPOTHETICAL PROTEIN
Rv2825c		Rv2825c	3133.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2826c		Rv2826c	3134.59	10	HYPOTHETICAL PROTEIN
Rv2827c		Rv2827c	3135.48	10	HYPOTHETICAL PROTEIN
Rv2828A		Rv2828A	3136.60	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2828c		Rv2828c	3136.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2837c		Rv2837c	3144.65	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2840c		Rv2840c	3148.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2842c		Rv2842c	3149.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2844		Rv2844	3150.71	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2851c		Rv2851c	3160.52	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv2854		Rv2854	3164.15	10	HYPOTHETICAL PROTEIN
Rv2862c		Rv2862c	3174.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2867c		Rv2867c	3179.31	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv2879c		Rv2879c	3190.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2880c		Rv2880c	3190.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2891		Rv2891	3200.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2896c		Rv2896c	3206.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2897c		Rv2897c	3207.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2898c		Rv2898c	3208.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2901c		Rv2901c	3212.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2908c		Rv2908c	3217.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2910c		Rv2910c	3218.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2915c		Rv2915c	3224.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2917		Rv2917	3226.36	10	CONSERVED HYPOTHETICAL ALANINE AND ARGININE RICH PROTEIN
Rv2923c		Rv2923c	3238.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2926c		Rv2926c	3241.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2927c		Rv2927c	3241.96	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2929		Rv2929	3242.97	10	HYPOTHETICAL PROTEIN
Rv2949c		Rv2949c	3300.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2953		Rv2953	3305.28	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2954c		Rv2954c	3307.39	10	HYPOTHETICAL PROTEIN
Rv2955c		Rv2955c	3308.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2956		Rv2956	3308.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2960c		Rv2960c	3313.20	10	HYPOTHETICAL PROTEIN
Rv2970A		Rv2970A	3325.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2974c		Rv2974c	3331.36	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2975c		Rv2975c	3331.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2983		Rv2983	3339.12	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv2990c		Rv2990c	3347.72	10	HYPOTHETICAL PROTEIN
Rv2991		Rv2991	3347.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv2998		Rv2998	3356.81	10	HYPOTHETICAL PROTEIN
Rv2998A		Rv2998A	3357.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3005c		Rv3005c	3364.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3008		Rv3008	3366.64	10	HYPOTHETICAL PROTEIN
Rv3013		Rv3013	3371.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3015c		Rv3015c	3375.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3026c		Rv3026c	3386.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3027c		Rv3027c	3386.92	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv3030		Rv3030	3389.10	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3031		Rv3031	3389.92	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3033		Rv3033	3393.38	10	HYPOTHETICAL PROTEIN
Rv3035		Rv3035	3395.38	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3037c		Rv3037c	3398.29	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3038c		Rv3038c	3399.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3040c		Rv3040c	3401.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3046c		Rv3046c	3407.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3047c		Rv3047c	3408.31	10	HYPOTHETICAL PROTEIN
Rv3054c		Rv3054c	3415.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3067		Rv3067	3431.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3071		Rv3071	3434.46	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3072c		Rv3072c	3436.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3073c		Rv3073c	3436.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3074		Rv3074	3436.78	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3075c		Rv3075c	3438.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3076		Rv3076	3439.07	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3079c		Rv3079c	3442.60	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3081		Rv3081	3446.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3087		Rv3087	3452.93	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3088		Rv3088	3454.34	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3090		Rv3090	3458.21	10	HYPOTHETICAL ALANINE AND VALINE RICH PROTEIN
Rv3091		Rv3091	3459.12	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3094c		Rv3094c	3463.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3096		Rv3096	3464.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3098c		Rv3098c	3467.66	10	HYPOTHETICAL PROTEIN
Rv3099c		Rv3099c	3469.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3103c		Rv3103c	3471.85	10	HYPOTHETICAL PROLINE-RICH PROTEIN
Rv3108		Rv3108	3477.06	10	HYPOTHETICAL PROTEIN
Rv3114		Rv3114	3480.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3120		Rv3120	3485.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3122		Rv3122	3488.09	10	HYPOTHETICAL PROTEIN
Rv3123		Rv3123	3488.57	10	HYPOTHETICAL PROTEIN
Rv3126c		Rv3126c	3492.12	10	HYPOTHETICAL PROTEIN
Rv3127		Rv3127	3492.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3128c		Rv3128c	3494.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3129		Rv3129	3494.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3131		Rv3131	3496.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3134c		Rv3134c	3500.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3142c		Rv3142c	3509.55	10	HYPOTHETICAL PROTEIN
Rv3165c		Rv3165c	3534.40	10	HYPOTHETICAL PROTEIN
Rv3166c		Rv3166c	3535.35	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3168		Rv3168	3536.10	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3169		Rv3169	3537.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3172c		Rv3172c	3541.36	10	HYPOTHETICAL PROTEIN
Rv3178		Rv3178	3546.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3179		Rv3179	3547.62	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3180c		Rv3180c	3549.69	10	HYPOTHETICAL ALANINE RICH PROTEIN
Rv3181c		Rv3181c	3550.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3182		Rv3182	3550.37	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3188		Rv3188	3554.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3189		Rv3189	3554.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3190c		Rv3190c	3556.69	10	HYPOTHETICAL PROTEIN
Rv3192		Rv3192	3559.56	10	CONSERVED HYPOTHETICAL ALANINE AND PROLINE-RICH PROTEIN
Rv3195		Rv3195	3564.36	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3196		Rv3196	3565.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3196A		Rv3196A	3566.90	10	HYPOTHETICAL PROTEIN
Rv3205c		Rv3205c	3582.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3207c		Rv3207c	3584.66	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3209		Rv3209	3586.27	10	CONSERVED HYPOTHETICAL THREONIN AND PROLINE RICH PROTEIN
Rv3210c		Rv3210c	3587.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3212		Rv3212	3589.39	10	CONSERVED HYPOTHETICAL ALANINE VALINE RICH PROTEIN
Rv3218		Rv3218	3594.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3222c		Rv3222c	3598.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3224A		Rv3224A	3600.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3224B		Rv3224B	3600.80	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3226c		Rv3226c	3603.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3228		Rv3228	3604.73	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3231c		Rv3231c	3608.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3233c		Rv3233c	3610.37	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3234c		Rv3234c	3611.19	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3235		Rv3235	3611.30	10	HYPOTHETICAL ALANINE ARGININE PROLINE RICH PROTEIN
Rv3237c		Rv3237c	3613.60	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3242c		Rv3242c	3622.21	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3243c		Rv3243c	3623.09	10	HYPOTHETICAL PROTEIN
Rv3254		Rv3254	3633.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3256c		Rv3256c	3637.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3258c		Rv3258c	3639.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3259		Rv3259	3639.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3267		Rv3267	3647.89	10	CONSERVED HYPOTHETICAL PROTEIN (CPSA-RELATED PROTEIN)
Rv3268		Rv3268	3649.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3272		Rv3272	3653.45	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3281		Rv3281	3663.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3282		Rv3282	3664.22	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3284		Rv3284	3665.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3292		Rv3292	3672.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3294c		Rv3294c	3676.00	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3300c		Rv3300c	3686.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3304		Rv3304	3691.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3311		Rv3311	3698.12	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3312c		Rv3312c	3700.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3333c		Rv3333c	3720.78	10	HYPOTHETICAL PROLINE RICH PROTEIN
Rv3337		Rv3337	3723.66	10	CONSERVED HYPOTHETICAL PROTEIN
